stop_id,stop_code,stop_name,stop_lat,stop_lon
5806,01,ZEGARYNKI,52.33742845,20.9993676
5815,02,LWOWSKA,52.33433627,20.89899401
5816,01,LWOWSKA,52.33386652,20.89932658
5817,02,ŁOMIANKI-SZKOŁA,52.33783111,20.89507182
5818,01,ŁOMIANKI-SZKOŁA,52.33723952,20.89560523
5832,02,DZIEKANÓW POLSKI WSCHÓD,52.36280307,20.85082667
5833,01,DZIEKANÓW POLSKI WSCHÓD,52.36196406,20.85260691
5842,02,PIEŃKÓW-SKLEP,52.3743519,20.81182363
5844,01,PODRÓŻNA,52.36735507,20.83726916
5853,02,ŁOMNA-LAS,52.37718375,20.79797846
5854,01,ŁOMNA-LAS,52.37701423,20.79861675
5855,02,ŁOMNA-CMENTARZ,52.37926114,20.78726638
5856,01,ŁOMNA-CMENTARZ,52.37918793,20.7874
5859,04,KUSOCIŃSKIEGO,52.37387976,20.78133431
5860,03,KUSOCIŃSKIEGO,52.3738246,20.78135579
5862,01,ŁOMNA WSCHÓD,52.380457,20.783103
5870,01,CZĄSTKÓW POLSKI,52.38979317,20.754941
5882,02,POLNA,52.43403124,20.87129053
5884,01,1 SIERPNIA,52.19588152,20.96351228
5886,02,MŁYN MICHLA,52.2568203,21.06323806
5887,01,MŁYN MICHLA,52.2564177,21.06143708
5900,02,FLAMENCO,52.14415741,21.01078946
5901,01,FLAMENCO,52.144273,21.01131
5914,01,PKP WOŁOMIN (LASKOWA),52.34762345,21.23915052
5915,02,SZPITAL POWIATOWY,52.345412,21.22123
5922,01,STARE KABATY,52.13048184,21.08419945
5934,02,LEGIONÓW,52.34625574,21.24200236
5937,01,LESZCZYŃSKA,52.33656649,21.23653235
5938,01,SOKOLA,52.333624,21.23715797
5949,02,MICKIEWICZA,52.30605525,21.15766685
5950,01,MICKIEWICZA,52.30662886,21.15708645
5961,01,MAZURSKA,52.31432854,21.14087253
5962,02,MAZURSKA,52.31431286,21.14033948
5967,01,SZYMAŃSKIEGO,52.31456683,21.1743668
5968,02,SZYMAŃSKIEGO,52.31450475,21.17327733
5980,02,RÓŻANA,52.31166791,21.14526566
5988,02,PADEREWSKIEGO,52.29468093,21.15950546
6025,02,BIESZCZADZKA,52.3797876,21.16306054
6026,01,WRZOSOWA,52.37253643,21.16086543
6038,02,ROSNOWSKIEGO,52.13110242,21.07741578
6047,04,JABŁONIOWA,52.057209,21.15885409
6051,02,SULEJÓWEK MIŁOSNA-POMNIK,52.24183062,21.30337087
6060,02,WYSPIAŃSKIEGO,52.24413874,21.30044793
6061,01,SZEKSPIRA,52.24867681,21.30247129
6064,02,POZYTYWKI,52.11047671,21.01101637
6075,02,GŁOWACKIEGO,52.24364254,21.29623797
6081,01,KOŚCIUSZKI,52.24190973,21.28295781
6082,02,BOGUSŁAWSKIEGO,52.24464293,21.27313993
6083,01,BOGUSŁAWSKIEGO,52.244458,21.273043
6086,04,MARIAŃSKA,52.2374822,21.25720724
6091,01,SZKLARNIOWA,52.23422397,21.27845922
6092,02,SZKLARNIOWA,52.233869,21.279139
6093,01,PRZEJAZD,52.23325687,21.2853278
6094,02,PRZEJAZD,52.23323102,21.2855221
6095,04,OGRODNICZA,52.22077018,21.28465161
6105,02,WÓLKA PĘCHERSKA,52.03090106,20.9812743
6106,02,GÓRNA,52.03739788,20.99105187
6109,02,STARE MIASTO,52.07597497,21.25071835
6121,02,WARSZTATOWA,52.097788,21.23735
6123,04,TERESPOLSKA,52.25017059,21.07161178
6124,04,PODSKARBIŃSKA,52.25007437,21.07486275
6125,03,PODSKARBIŃSKA,52.25016176,21.07360199
6127,10,OKOPOWA,52.23846608,20.98088043
6130,02,PANCERZ,52.3213562,20.89402361
6135,06,ŻERAŃ WSCHODNI,52.30990865,21.01591273
6141,02,TRAKT KRÓLEWSKI,52.25977917,20.735186
6143,02,WÓLCZYŃSKA,52.28375779,20.73043353
6144,01,WÓLCZYŃSKA,52.28355887,20.72934189
6149,02,METRO TROCKA,52.27557961,21.05491943
6150,01,CMENTARZ MARKI,52.33271385,21.09005632
6158,03,OKÓLNA,52.33240023,21.10161805
6160,02,OKÓLNA,52.33196937,21.10223798
6166,01,KARŁOWICZA,52.3419678,21.10820091
6169,05,PUSTELNIK,52.33966355,21.11656922
6170,05,OS. KABATY,52.12930911,21.06773622
6171,06,OS. KABATY,52.12899222,21.06802734
6185,05,STARA MIŁOSNA (GRANICZNA),52.21442142,21.21739393
6186,03,STARA MIŁOSNA (GRANICZNA),52.21441925,21.21754568
6202,02,KOŚCIÓŁ,52.05682443,21.04399669
6224,01,MACZKA,52.27983804,21.13063439
6227,01,KWATERY GŁÓWNEJ,52.23972644,21.11467127
6228,02,KWATERY GŁÓWNEJ,52.23943846,21.11490597
6234,01,PRZY BAŻANTARNI,52.13787033,21.06513905
6243,81,PKP LEGIONOWO PRZYSTANEK,52.4107371783,20.9153920465
6261,01,LILIOWA,52.15705261,21.19065777
6262,02,LILIOWA,52.15725963,21.19182383
6265,02,METRO TARGÓWEK MIESZKANIOWY,52.26939198,21.05108834
6266,01,METRO TARGÓWEK MIESZKANIOWY,52.26950458,21.05068201
6270,01,ROZCHODNIKOWA,52.15983331,21.17037117
6271,02,ROZCHODNIKOWA,52.16050858,21.16937182
6286,02,WRONIA,52.31682463,21.12615465
